timestamp,type,message,urgency
2026-05-26T20:05:52.379276,BIG MOVE: AMD,📈 +6.59% heute ($498.33),CRITICAL
2026-05-26T20:11:57.940257,BIG MOVE: AMD,📈 +6.61% heute ($498.40),CRITICAL
2026-05-26T20:15:44.644250,BIG MOVE: AMD,📈 +6.49% heute ($497.87),CRITICAL
2026-05-26T20:16:52.143248,BIG MOVE: AMD,📈 +6.50% heute ($497.91),CRITICAL
2026-05-26T20:19:17.801896,BIG MOVE: AMD,📈 +6.64% heute ($498.54),CRITICAL
2026-05-26T20:19:54.743331,BIG MOVE: AMD,📈 +6.59% heute ($498.30),CRITICAL
2026-05-26T20:22:10.622846,BIG MOVE: AMD,📈 +6.58% heute ($498.26),CRITICAL
2026-05-27T13:57:02.464225,BIG MOVE: AMD,📈 +7.78% heute ($503.89),CRITICAL
2026-05-27T14:00:29.062613,BIG MOVE: AMD,📈 +7.78% heute ($503.89),CRITICAL
2026-05-27T14:06:00.702714,BIG MOVE: AMD,📈 +7.78% heute ($503.89),CRITICAL
2026-05-27T14:11:44.584863,BIG MOVE: AMD,📈 +7.78% heute ($503.89),CRITICAL
2026-05-27T14:13:38.243261,BIG MOVE: AMD,📈 +7.78% heute ($503.89),CRITICAL
