return,vol,sharpe,w_COPX,w_GLD,w_HIMS,w_JNJ,w_JPM,w_SLV,w_TSLA,w_XOM
30.64816639167489,25.679303335718874,1.0377293356945696,0.0251,0.2901,0.2545,0.0291,0.1598,0.0356,0.0444,0.1614
27.645845922226986,26.346077893223963,0.8975091479672783,0.3191,0.0229,0.088,0.0272,0.1952,0.0826,0.2017,0.0632
28.34818771227155,27.266179280715523,0.892981281374183,0.3883,0.0032,0.0613,0.0171,0.0187,0.2991,0.1144,0.0978
24.278654372385848,21.182992980499872,0.9573082704154922,0.2448,0.1798,0.031,0.1516,0.0427,0.1306,0.1704,0.0491
25.102785065673572,22.274359966374107,0.947402533564638,0.0362,0.1306,0.0269,0.0164,0.3814,0.181,0.2118,0.0158
24.55865461271694,19.95680267499894,1.0301577335567873,0.0956,0.1398,0.0498,0.0358,0.3563,0.0914,0.1298,0.1014
22.138125634774326,20.85139639601495,0.8698758246349786,0.3579,0.1028,0.0482,0.2671,0.0492,0.1351,0.0314,0.0083
23.58633046405597,21.38622621304483,0.915838552764817,0.0954,0.011,0.0505,0.1435,0.3766,0.0222,0.1821,0.1187
28.386044642486898,26.764834587646476,0.9111225613082052,0.4095,0.1048,0.1716,0.0555,0.1054,0.0587,0.0337,0.0608
24.5177120149212,20.15660573412879,1.0179150341855918,0.0796,0.0024,0.0251,0.2022,0.0811,0.3868,0.0661,0.1565
21.713623729332877,17.179234062812757,1.0311067224863588,0.119,0.0288,0.0296,0.2419,0.252,0.1277,0.0717,0.1292
32.97131595536648,32.35358506997781,0.8954592170451653,0.004,0.005,0.2574,0.2065,0.0186,0.2076,0.2876,0.0133
25.45393609576069,24.42686940805707,0.8782924957499557,0.2117,0.0677,0.0116,0.0646,0.1685,0.0754,0.2785,0.1219
25.269844296508758,21.256451506170155,1.0006300576714189,0.2321,0.0879,0.029,0.0169,0.2082,0.1963,0.0782,0.1514
27.971902953263868,21.536407695264604,1.1130873492209554,0.0457,0.265,0.0929,0.0026,0.0763,0.018,0.2024,0.2971
30.856653123877354,26.98303455191616,0.9953162633433374,0.2652,0.0991,0.1972,0.015,0.0827,0.1093,0.0895,0.1419
22.958391034312477,18.136421210193646,1.045321500564667,0.1501,0.138,0.0343,0.2115,0.1258,0.1253,0.1292,0.0858
26.70210380161263,21.62811472477962,1.049657082482669,0.1425,0.2343,0.1128,0.0566,0.1911,0.1402,0.1109,0.0116
25.694150716790503,20.035759318305924,1.0827715771655018,0.0448,0.2065,0.0729,0.0659,0.2086,0.3071,0.0427,0.0516
27.484208180844117,26.19338121969772,0.8965703199548641,0.0779,0.0178,0.0319,0.051,0.0674,0.6103,0.0062,0.1375
29.160665585810737,27.28127546476265,0.9222686680580254,0.2767,0.0052,0.1235,0.0163,0.1718,0.0314,0.219,0.156
25.85819650983712,26.50307908697699,0.8247417757802241,0.0259,0.0576,0.0408,0.0492,0.3594,0.0071,0.3375,0.1224
31.56518770959619,32.262007639005304,0.8544163778657539,0.0413,0.0196,0.2342,0.0741,0.3018,0.0454,0.2778,0.0058
32.16085153769212,28.567324193294645,0.9857714130713743,0.0791,0.0456,0.2972,0.1527,0.0296,0.1319,0.001,0.2629
26.637219103106997,20.461343319155596,1.106340808128388,0.0357,0.1181,0.1332,0.2426,0.0223,0.11,0.1569,0.1813
27.65651889119527,20.848001711108992,1.1347139749412887,0.0369,0.1115,0.1221,0.1038,0.0857,0.0443,0.1351,0.3606
33.13171129034784,31.59541043174192,0.922023512031388,0.2507,0.0584,0.2875,0.0249,0.1233,0.051,0.0841,0.1201
20.924705470962518,16.433780410401386,1.0298729232289372,0.1295,0.3846,0.0068,0.0734,0.2785,0.0036,0.0538,0.0697
25.514236861492464,21.5263563161534,0.9994369946087046,0.0677,0.027,0.0282,0.1085,0.2224,0.2805,0.1903,0.0755
18.784449242926655,14.321782409847044,1.0323051153717782,0.0642,0.2083,0.0193,0.3562,0.177,0.0004,0.0708,0.1037
18.536324616059368,15.197649394502799,0.9564850615199318,0.1032,0.0944,0.0327,0.374,0.2524,0.0226,0.0054,0.1153
27.44712865433692,23.00952890928189,1.019018196625421,0.113,0.0986,0.1067,0.0296,0.274,0.085,0.1773,0.1158
25.010422387802784,23.28945812380375,0.9021430329599809,0.1856,0.22,0.0273,0.0925,0.108,0.0506,0.2751,0.0408
26.087357038185417,21.79367079905076,1.0134757582530542,0.1866,0.2048,0.0411,0.0306,0.086,0.0326,0.2118,0.2064
31.507886787045503,35.19963434504163,0.781482174428337,0.0465,0.0609,0.1336,0.0313,0.1551,0.0489,0.4832,0.0405
24.46009323546747,19.516082724234842,1.0483709013008213,0.0795,0.2801,0.0454,0.0642,0.1881,0.2719,0.0459,0.0249
23.76269846168611,18.78014735698423,1.0523186046427093,0.1186,0.3772,0.0444,0.091,0.1333,0.0919,0.1339,0.0097
24.52012527323418,21.29230374694771,0.9637343857719377,0.0922,0.0325,0.1237,0.3898,0.0226,0.0783,0.188,0.0729
29.445656324366386,27.461370567204835,0.9265981922531693,0.3198,0.0012,0.1711,0.0739,0.1294,0.0441,0.1478,0.1126
24.743920393190454,24.40138608263495,0.8501123798025841,0.4691,0.1482,0.082,0.0306,0.2001,0.0107,0.0131,0.0463
25.701600022407522,22.045120720990447,0.9844173818356169,0.0208,0.0274,0.0362,0.197,0.0052,0.4981,0.0465,0.1688
23.827910755085767,18.574007099698456,1.067508515995327,0.23,0.1516,0.0602,0.1763,0.0483,0.0861,0.046,0.2015
28.399179331978242,22.645173329886795,1.0774560643250424,0.0442,0.1089,0.1539,0.1587,0.0319,0.3534,0.0156,0.1334
26.09113973233074,24.512449275069635,0.9012212318904627,0.4212,0.1789,0.0894,0.045,0.0884,0.0702,0.0719,0.035
33.8926901856028,31.88146888470688,0.9376196025880706,0.0023,0.1313,0.3571,0.0997,0.0898,0.0604,0.0141,0.2451
25.003592501736797,23.361551530944013,0.899066676882144,0.0082,0.1118,0.0195,0.198,0.1072,0.2257,0.313,0.0165
23.968129578814246,18.207552846370202,1.0966948577493778,0.0076,0.1099,0.0935,0.1409,0.3641,0.0951,0.0543,0.1347
24.472980923791578,19.792130829882115,1.0344000400846944,0.2065,0.0628,0.0721,0.2344,0.0233,0.0393,0.1363,0.2253
33.57365768010844,32.24614024026653,0.9171224047205224,0.0146,0.1696,0.3355,0.1126,0.0951,0.0415,0.1319,0.0993
29.88292866332755,29.062110219572645,0.8906073395143899,0.0195,0.1781,0.1464,0.1179,0.0371,0.0293,0.3733,0.0983
26.537470734507384,20.076271274058257,1.1225924588710547,0.0212,0.0141,0.07,0.06,0.177,0.1289,0.0695,0.4593
30.644425538236742,27.388545131781207,0.9728309923011939,0.1243,0.129,0.2633,0.1563,0.051,0.0002,0.1006,0.1752
32.67858641009613,30.961117365102915,0.9262775006440988,0.0071,0.0048,0.3261,0.1849,0.112,0.0526,0.0886,0.2239
22.82296219769556,19.977881708756595,0.9421900916274413,0.0084,0.1387,0.0515,0.3614,0.0416,0.1088,0.2506,0.0389
23.70757942431892,18.406295368796112,1.0706977710315817,0.1364,0.169,0.0816,0.2909,0.004,0.1332,0.1078,0.0771
27.461914244831924,22.46971510049635,1.0441571751087158,0.1022,0.3132,0.2015,0.1075,0.1508,0.0568,0.0126,0.0555
26.753392224150673,29.666706733789773,0.7669672413701055,0.0722,0.1215,0.0018,0.0752,0.12,0.1232,0.4503,0.0359
32.73892299197656,30.68682843283111,0.9365230771528501,0.0236,0.1899,0.226,0.0027,0.1435,0.0694,0.281,0.0639
24.283347765741993,21.137460327188247,0.9595924700401379,0.2018,0.054,0.12,0.1799,0.3134,0.0802,0.0418,0.009
45.766011556106974,57.48308315703143,0.726579182296315,0.1008,0.0657,0.6762,0.0212,0.0108,0.0179,0.0814,0.026
36.52157827036144,36.92914312539155,0.8806480605286621,0.0085,0.051,0.4198,0.1567,0.0028,0.2105,0.0208,0.1299
25.95346079100686,23.95387461555207,0.9164889247918815,0.0124,0.0268,0.1454,0.0838,0.5359,0.0904,0.0936,0.0117
25.79943851470221,21.044405016607364,1.0358781109515334,0.1041,0.1422,0.0679,0.0245,0.2953,0.0554,0.1658,0.1447
31.629280744710915,29.611091479259155,0.9330720133725438,0.1373,0.1671,0.3024,0.142,0.0673,0.08,0.0508,0.0531
28.373140971176735,23.26600799398805,1.047585859055613,0.2356,0.0355,0.0941,0.0168,0.079,0.1134,0.1171,0.3086
23.73383412056907,20.611181662979384,0.9574334185804516,0.2534,0.3842,0.0203,0.0133,0.1183,0.1086,0.0825,0.0196
28.15856977215337,24.47348295646252,0.9871324737525358,0.122,0.1562,0.1393,0.1133,0.1176,0.0717,0.2237,0.0563
21.52533681593485,19.010226851924,0.9218899360036377,0.294,0.1313,0.0097,0.2284,0.0834,0.0296,0.1131,0.1106
31.702206661430687,30.386442431670368,0.9116633749977251,0.0723,0.047,0.2641,0.2202,0.0187,0.0962,0.2229,0.0587
29.337495541762067,30.560274005069132,0.8290990956939475,0.0052,0.074,0.1339,0.133,0.1505,0.0336,0.4052,0.0646
22.474104262970204,19.553591409679168,0.9447934078148627,0.3153,0.103,0.0774,0.3098,0.0004,0.0631,0.0284,0.1026
25.326098707323325,21.55464206359279,0.9893970238246038,0.0022,0.1083,0.054,0.1131,0.2246,0.0135,0.2496,0.2348
29.510993327246897,26.899667338440985,0.9483757923946665,0.283,0.0025,0.1871,0.0365,0.2247,0.0646,0.0823,0.1192
32.40936399147231,30.459020573085848,0.9327077317967128,0.1151,0.0169,0.2349,0.0903,0.1288,0.1748,0.2147,0.0244
26.73145883406518,28.313284929444745,0.802854875042257,0.1709,0.084,0.0567,0.1177,0.1458,0.0486,0.3734,0.003
27.530779597149362,22.347985002112008,1.0529262300348587,0.0883,0.0903,0.1433,0.0575,0.306,0.1895,0.0629,0.0623
18.226924524150707,17.277774936265722,0.8234234197766208,0.1969,0.0124,0.0012,0.4995,0.02,0.01,0.1118,0.1483
26.524950164334733,21.70343568853226,1.037851816993037,0.259,0.0834,0.1283,0.1122,0.0727,0.0137,0.0155,0.3152
21.856468889020498,17.735171930555435,1.0068393449434838,0.0297,0.0343,0.008,0.1231,0.3697,0.0825,0.0415,0.311
27.009423934804705,22.468374841834766,1.0240804729660526,0.1324,0.3,0.0625,0.0264,0.0232,0.0142,0.2475,0.1939
36.228069555009995,38.023627722316405,0.8475800833726093,0.1238,0.0724,0.3942,0.1406,0.0019,0.1025,0.1505,0.014
24.078816627131044,17.740839078758906,1.131785060334119,0.1306,0.2415,0.1114,0.2242,0.0605,0.0116,0.0617,0.1586
31.794144421245722,28.829613777658263,0.9640831346407082,0.0107,0.0324,0.192,0.0927,0.1088,0.165,0.2817,0.1166
26.41097372413507,23.8704709364833,0.9388576280613903,0.0488,0.0425,0.1769,0.3713,0.0079,0.0065,0.2068,0.1394
27.02701995125884,21.562098147186646,1.0679396686756726,0.1381,0.2525,0.0594,0.0282,0.0059,0.2805,0.0819,0.1533
26.967214067309698,24.45730027805821,0.9390739699882027,0.0217,0.0707,0.1953,0.1072,0.4479,0.0196,0.0655,0.072
23.88319577265352,23.3229157616998,0.8525175829561203,0.3464,0.0483,0.0279,0.1063,0.1629,0.2788,0.0009,0.0286
25.13719147311407,18.98177212937352,1.1135520608428926,0.0991,0.3563,0.1152,0.1194,0.1253,0.0297,0.0953,0.0597
37.397407130677365,37.28937772145038,0.8956279018693789,0.1023,0.0266,0.3335,0.011,0.0319,0.1494,0.2475,0.0976
25.20661517166903,18.122652297313024,1.1701717179009856,0.0015,0.2118,0.106,0.214,0.0843,0.1744,0.0985,0.1095
27.844019986616043,27.8424886621352,0.8563896811078913,0.123,0.0265,0.1213,0.0074,0.4294,0.0272,0.2479,0.0173
29.767252032189518,24.317700222662385,1.0596089184525868,0.1602,0.0022,0.1596,0.0349,0.1672,0.173,0.085,0.2179
22.912293194513992,16.703310695674325,1.1322481835539182,0.0308,0.1487,0.0694,0.2716,0.152,0.1562,0.092,0.0794
32.103887427630575,33.078768483897996,0.8496050099722098,0.0243,0.0581,0.1239,0.0619,0.0234,0.2316,0.4454,0.0315
37.59908680540887,40.54572645029866,0.8286714716184689,0.1403,0.05,0.4199,0.111,0.0094,0.1005,0.165,0.0038
20.47031294443559,19.66929354068874,0.8373616932588044,0.0307,0.041,0.0539,0.1767,0.5963,0.0411,0.0167,0.0437
24.0556843109497,20.509772273395114,0.9778599217781444,0.0318,0.1356,0.0862,0.2678,0.1648,0.065,0.2189,0.0298
29.352385214964976,28.618649593818347,0.8858693745088908,0.2092,0.0486,0.1216,0.1106,0.048,0.1056,0.3133,0.0432
35.03652961629817,34.528360953487116,0.8988706315398878,0.0554,0.0543,0.3634,0.1504,0.0397,0.2324,0.0741,0.0303
23.544613353028307,19.831138805624057,0.9855517398469071,0.0556,0.0103,0.0627,0.3446,0.0766,0.1204,0.2119,0.1178
32.186260272331204,26.309313492151055,1.071341533892175,0.0553,0.2082,0.245,0.0307,0.0188,0.1095,0.0738,0.2588
29.096821885964104,22.644763653500505,1.1082836752012006,0.0389,0.0261,0.0969,0.0529,0.0796,0.1783,0.1891,0.3382
27.025020079488822,24.575092405029686,0.9369250662421266,0.2538,0.032,0.1281,0.0379,0.3192,0.0165,0.1153,0.0972
31.122143832508087,29.01426032325172,0.9347866714621256,0.2558,0.0031,0.1424,0.0332,0.054,0.3317,0.1748,0.0049
28.388145196505487,23.33564374026792,1.0451027393095385,0.1805,0.0805,0.0897,0.0332,0.0847,0.1353,0.1845,0.2115
28.274914608562813,23.89915594018604,1.015722675282642,0.0791,0.282,0.0899,0.0143,0.0932,0.1928,0.2289,0.0198
23.320513956937305,19.505909512266747,0.9904954160064747,0.1076,0.174,0.029,0.0398,0.3689,0.0037,0.14,0.137
25.496844367679785,20.571965229814147,1.044958229684602,0.2824,0.3387,0.0851,0.0137,0.0362,0.0013,0.0102,0.2324
30.34739445091973,25.33277209470144,1.040051769795478,0.0266,0.3038,0.237,0.0842,0.0422,0.2179,0.0003,0.088
30.129237606438974,30.448343270438155,0.8581497316409811,0.4483,0.0452,0.2284,0.1177,0.0249,0.0645,0.0582,0.0128
27.83843748304189,23.655596064161266,1.0077293093095054,0.0219,0.3173,0.0872,0.0104,0.0591,0.4281,0.0329,0.0431
28.135418944369402,26.65511704348649,0.9054703794769938,0.1972,0.1378,0.0901,0.0735,0.0679,0.0536,0.3059,0.0739
32.79511615131218,31.98813803166602,0.900181064706143,0.0825,0.1135,0.2776,0.0271,0.2342,0.0207,0.1982,0.0461
30.859696700103374,25.517053888325915,1.0526174697774073,0.0017,0.2352,0.1768,0.0123,0.1002,0.3551,0.0901,0.0286
29.721685312715945,25.32368999055951,1.0157163242128144,0.2413,0.0906,0.1535,0.0324,0.059,0.0404,0.151,0.2318
24.592127712720405,17.51366795671759,1.1757747014280941,0.0209,0.146,0.0787,0.1644,0.1783,0.0847,0.1117,0.2153
24.813044258553752,20.195876050062456,1.0305591204343614,0.052,0.0312,0.1096,0.3108,0.1232,0.1727,0.1525,0.048
31.5377845245754,27.817968173493863,0.989927961410732,0.1789,0.0701,0.1967,0.0488,0.0511,0.0802,0.1963,0.1778
35.96077705526213,34.794309436102225,0.9185633390412958,0.1019,0.0918,0.3387,0.0144,0.0656,0.0539,0.1666,0.1672
25.22744695155653,25.471397635550336,0.8333836743190511,0.4718,0.0122,0.0476,0.0965,0.0918,0.0867,0.1191,0.0743
22.15791349513295,16.127687322601332,1.1258845197033587,0.002,0.1483,0.1054,0.3437,0.1609,0.0917,0.0287,0.1192
26.312645399869645,22.537637593767773,0.9900170462426663,0.3239,0.1932,0.112,0.0917,0.0422,0.1046,0.0331,0.0994
31.57844478962286,26.50020783097893,1.0406878680167735,0.1355,0.0948,0.2061,0.0746,0.0027,0.2562,0.0911,0.139
40.19709467717516,45.19453347569672,0.8009175423094053,0.0482,0.1795,0.5248,0.0015,0.1058,0.0717,0.0333,0.0352
23.34497627495279,20.773607738847797,0.9312285337311251,0.2563,0.1122,0.0018,0.1505,0.0946,0.1356,0.1598,0.0893
26.21855957496116,20.53494411878854,1.081987827501911,0.1361,0.4374,0.1469,0.0611,0.0834,0.0544,0.0073,0.0734
17.472742913513866,15.925024889442199,0.846010791634359,0.0143,0.0328,0.0224,0.5537,0.146,0.0461,0.1036,0.0811
28.721763964603607,23.637812609505296,1.045856669269915,0.2005,0.0541,0.0909,0.0256,0.076,0.2222,0.1429,0.1878
23.87257173868225,20.918439414076598,0.9500025955717062,0.2799,0.2251,0.0093,0.041,0.0756,0.1867,0.0154,0.1668
24.277091901332618,18.313515888701286,1.1072200458156032,0.09,0.025,0.0395,0.2298,0.0408,0.2104,0.1046,0.2598
21.189152078563293,17.63655568541256,0.9746320304922508,0.1838,0.1553,0.034,0.2794,0.1499,0.0266,0.1281,0.0428
32.30304739160503,30.232916610194817,0.9361666211873513,0.2899,0.07,0.2467,0.0287,0.0715,0.049,0.1177,0.1264
25.542576705784644,19.613427619522167,1.0983585900274924,0.0489,0.1014,0.0456,0.1158,0.0572,0.0447,0.155,0.4314
33.85775241661928,33.035630786413435,0.9038045197217449,0.2721,0.0599,0.3023,0.0484,0.0589,0.1,0.0936,0.0648
29.509430814297744,23.952624821297864,1.0649952147046375,0.0499,0.1035,0.1729,0.0602,0.1731,0.0627,0.1559,0.2218
23.465224830538116,19.17820366038126,1.0149660090819552,0.1793,0.1768,0.0352,0.1603,0.09,0.2428,0.0298,0.0858
34.955042047605716,33.0292659368299,0.9372004242179878,0.0587,0.1669,0.3346,0.05,0.0521,0.1015,0.1297,0.1065
25.541077096832645,19.719352705952666,1.0923825653937442,0.0198,0.0043,0.0274,0.1452,0.1068,0.207,0.1756,0.3138
26.211189557590547,22.353495249613083,0.9936338505261275,0.1552,0.1531,0.0326,0.0211,0.1739,0.2279,0.1797,0.0566
31.154168085552058,27.950396282674518,0.9715128118732252,0.1515,0.1051,0.1918,0.0073,0.1514,0.0334,0.2126,0.1469
31.79432417407233,28.46574470948338,0.9764130346048047,0.0363,0.1336,0.2575,0.1498,0.0,0.3755,0.0092,0.0381
21.495115793968303,15.870991677559626,1.1023328692626728,0.0209,0.31,0.0381,0.1366,0.2938,0.1336,0.0021,0.0648
26.78781795112699,27.831553501217165,0.8187763557693754,0.0379,0.1277,0.0427,0.097,0.1715,0.0731,0.403,0.047
27.031649877553598,19.89696801838574,1.157545705268826,0.0663,0.128,0.0718,0.0688,0.0605,0.1261,0.1363,0.3424
24.926591590257054,18.925943244919882,1.1057093070314572,0.0225,0.2691,0.12,0.1174,0.2665,0.1603,0.0237,0.0205
23.028890656957326,19.34175898514946,0.9838242050047075,0.0838,0.5481,0.0261,0.0136,0.1304,0.17,0.0203,0.0077
35.7883670662312,35.1860229031019,0.9034373436796925,0.0103,0.02,0.3955,0.1091,0.0709,0.0817,0.0262,0.2864
22.658879927706217,18.43955900367959,1.0118940438859119,0.0054,0.0654,0.0033,0.1741,0.1993,0.0238,0.1644,0.3644
29.874423429128804,29.098133748361903,0.8892124715931454,0.0565,0.046,0.1657,0.0596,0.2637,0.0198,0.2987,0.09
25.977579009581177,22.28168724222003,0.9863516515004922,0.1536,0.1623,0.1048,0.1183,0.2024,0.0474,0.1834,0.0278
28.046095651995113,25.204709715863167,0.9540318425830211,0.1192,0.0849,0.2506,0.2564,0.1155,0.0046,0.0363,0.1326
27.08360606110255,24.473205448784263,0.943219559424295,0.2573,0.1996,0.0356,0.0037,0.0037,0.3161,0.1071,0.077
24.703708919616815,21.8633331827535,0.9469603169176677,0.0436,0.0105,0.1693,0.4479,0.0415,0.0683,0.1431,0.0758
23.696552914775427,23.0532577735508,0.8543934704696466,0.4336,0.1699,0.0141,0.0136,0.1564,0.0365,0.0649,0.111
26.170103524254092,21.515839329613762,1.0304084904435877,0.1508,0.3904,0.1103,0.0277,0.162,0.0184,0.14,0.0004
36.56813956287609,36.042616976956566,0.903600856277949,0.0027,0.1036,0.3785,0.0922,0.0299,0.3053,0.0732,0.0147
17.99724301616901,16.47471002309069,0.84961999310159,0.1478,0.0004,0.0314,0.5248,0.1209,0.0861,0.0444,0.0443
27.482220562688543,20.466346394064395,1.1473577213321673,0.0299,0.3749,0.1675,0.0185,0.1621,0.0595,0.0016,0.186
22.986331765474453,20.307343206445307,0.9349490759307413,0.284,0.044,0.0218,0.1111,0.2409,0.0431,0.0866,0.1685
27.050569327695506,22.34090039042998,1.0317654581893898,0.0121,0.1275,0.038,0.0104,0.2171,0.2137,0.2396,0.1416
27.57371699630513,20.854422774179575,1.1303941255805166,0.0174,0.0216,0.0979,0.03,0.2596,0.1564,0.1002,0.3168
28.091003419727496,21.014225324904615,1.1464140622484187,0.02,0.1891,0.0964,0.0088,0.072,0.3105,0.0032,0.2999
25.310672903909133,18.37329849769995,1.1598719144837764,0.0083,0.0727,0.1214,0.282,0.0029,0.1491,0.0307,0.3329
25.287258598675162,20.31563306798864,1.0478264953612257,0.1143,0.0571,0.0661,0.0632,0.2936,0.0524,0.1259,0.2274
23.92423832104449,20.65881711211419,0.9644423595463776,0.085,0.1002,0.0452,0.238,0.1279,0.11,0.2363,0.0575
30.360607670479972,26.446678965813703,0.9967454781205236,0.1055,0.1822,0.2377,0.0855,0.145,0.0722,0.1021,0.0699
28.52033557093193,26.35679571341793,0.9303230877359239,0.1917,0.1453,0.1456,0.1188,0.0775,0.0363,0.2491,0.0357
