sentiment,score,confidence,time_horizon,key_factors,risk_level,summary,catalysts,risks,source,subjectivity,title,publisher,date
neutral,0.0,0.0,short,[],medium, ,[],[],vader_fallback,0.0,,,2026-05-16 11:50:05.074464
neutral,0.0,0.0,short,[],medium, ,[],[],vader_fallback,0.0,,,2026-05-16 11:50:05.074484
neutral,0.0,0.0,short,[],medium, ,[],[],vader_fallback,0.0,,,2026-05-16 11:50:05.074487
neutral,0.0,0.0,short,[],medium, ,[],[],vader_fallback,0.0,,,2026-05-16 11:50:05.074489
neutral,0.0,0.0,short,[],medium, ,[],[],vader_fallback,0.0,,,2026-05-16 11:50:05.074490
neutral,0.0,0.0,short,[],medium, ,[],[],vader_fallback,0.0,,,2026-05-16 11:50:05.074491
neutral,0.0,0.0,short,[],medium, ,[],[],vader_fallback,0.0,,,2026-05-16 11:50:05.074492
neutral,0.0,0.0,short,[],medium, ,[],[],vader_fallback,0.0,,,2026-05-16 11:50:05.074494
neutral,0.0,0.0,short,[],medium, ,[],[],vader_fallback,0.0,,,2026-05-16 11:50:05.074495
neutral,0.0,0.0,short,[],medium, ,[],[],vader_fallback,0.0,,,2026-05-16 11:50:05.074496
