Ticker,Gewicht (%),Vola (%),Beta (SPY),Risk Contrib %,Heat Score,Market Val ($),PnL ($)
LAC,4.8,101.9,2.33,4.85,0.97,476.19,0.0
SEDG,4.8,99.4,1.88,4.73,0.95,476.19,0.0
HIMS,4.8,95.8,2.65,4.56,0.91,476.19,0.0
CRWV,4.8,93.2,3.22,4.44,0.89,476.19,0.0
ENPH,4.8,86.4,2.09,4.11,0.82,476.19,0.0
SMCI,4.8,84.1,3.48,4.0,0.8,476.19,0.0
PATH,4.8,71.5,1.13,3.4,0.68,476.19,0.0
RIVN,4.8,71.5,1.89,3.4,0.68,476.19,0.0
UPST,4.8,70.0,2.92,3.33,0.67,476.19,0.0
ALB,4.8,62.6,1.55,2.98,0.6,476.19,0.0
MNDY,4.8,61.7,0.72,2.94,0.59,476.19,0.0
TTD,4.8,52.5,0.91,2.5,0.5,476.19,0.0
DOCU,4.8,46.4,0.62,2.21,0.44,476.19,0.0
CRM,4.8,39.2,0.55,1.87,0.37,476.19,0.0
PANW,4.8,38.6,1.06,1.84,0.37,476.19,0.0
ADBE,4.8,34.9,0.49,1.66,0.33,476.19,0.0
JD,4.8,32.5,1.11,1.55,0.31,476.19,0.0
DOC,4.8,32.2,0.68,1.53,0.31,476.19,0.0
PEP,4.8,20.6,-0.19,0.98,0.2,476.19,0.0
CORN,4.8,15.1,-0.12,0.72,0.14,476.19,0.0
LIFT,4.8,1.3,0.0,0.06,0.01,476.19,0.0
