Date,close,vol_regime,combined_score,position_scalar,short_vol,long_vol,regime_str
2016-09-02,186.48959350585938,calm,2.45,1.0,0.0564,0.1204,bull_trend
2016-09-06,187.05332946777344,calm,2.45,1.0,0.0492,0.1205,bull_trend
2016-09-07,187.03619384765625,calm,2.45,1.0,0.0458,0.1204,bull_trend
2016-09-08,186.60923767089844,calm,2.45,1.0,0.0429,0.1205,bull_trend
2016-09-09,182.1427764892578,normal,2.3,1.0,0.1839,0.1286,bull_trend
2016-09-12,184.75607299804688,stress,2.15,1.0,0.2213,0.1305,bull_trend
2016-09-13,182.10003662109375,stress,2.15,1.0,0.2317,0.1339,bull_trend
2016-09-14,182.03170776367188,stress,2.15,0.5,0.2313,0.1338,sideways
2016-09-15,183.85076904296875,stress,2.15,0.5,0.2565,0.1351,sideways
2016-09-16,183.14002990722656,normal,2.3,0.5,0.1812,0.1351,sideways
2016-09-19,183.17445373535156,normal,2.3,0.5,0.1392,0.1346,sideways
2016-09-20,183.18301391601562,calm,2.45,1.0,0.0824,0.1345,bull_trend
2016-09-21,185.24301147460938,normal,2.3,1.0,0.1063,0.1361,bull_trend
2016-09-22,186.41029357910156,normal,2.3,1.0,0.0947,0.1343,bull_trend
2016-09-23,185.38890075683594,normal,2.3,1.0,0.1023,0.1128,bull_trend
2016-09-26,183.88682556152344,normal,2.3,1.0,0.1276,0.1076,bull_trend
2016-09-27,185.0283660888672,normal,2.3,1.0,0.1327,0.1026,bull_trend
2016-09-28,185.94680786132812,normal,2.3,1.0,0.111,0.0977,bull_trend
2016-09-29,184.26446533203125,normal,2.3,1.0,0.1162,0.0961,bull_trend
2016-09-30,185.65496826171875,normal,2.3,1.0,0.1297,0.0971,bull_trend
2016-10-03,185.20864868164062,normal,2.3,1.0,0.1115,0.096,bull_trend
2016-10-04,184.26446533203125,normal,2.3,1.0,0.11,0.0961,bull_trend
2016-10-05,185.0798797607422,normal,2.3,1.0,0.1082,0.0964,bull_trend
2016-10-06,185.20864868164062,normal,2.3,1.0,0.0807,0.0919,bull_trend
2016-10-07,184.57347106933594,calm,2.45,1.0,0.0598,0.092,bull_trend
2016-10-10,185.53482055664062,normal,2.3,1.0,0.0729,0.0914,bull_trend
2016-10-11,183.1915740966797,normal,2.3,1.0,0.1155,0.0949,bull_trend
2016-10-12,183.43190002441406,normal,2.3,1.0,0.1079,0.0943,bull_trend
2016-10-13,182.83111572265625,normal,2.3,1.0,0.1059,0.0945,bull_trend
2016-10-14,182.92544555664062,normal,2.3,1.0,0.1076,0.0943,bull_trend
2016-10-17,182.29034423828125,normal,2.3,1.0,0.0879,0.0945,bull_trend
2016-10-18,183.43190002441406,calm,2.45,1.0,0.0633,0.095,bull_trend
2016-10-19,183.92115783691406,calm,2.45,1.0,0.0654,0.0949,bull_trend
2016-10-20,183.57785034179688,calm,2.45,1.0,0.0608,0.0945,bull_trend
2016-10-21,183.66363525390625,calm,2.45,1.0,0.0609,0.0944,bull_trend
2016-10-24,184.44471740722656,calm,2.45,1.0,0.0504,0.0948,bull_trend
2016-10-25,183.82675170898438,calm,2.45,1.0,0.0497,0.095,bull_trend
2016-10-26,183.45767211914062,calm,2.45,1.0,0.0475,0.095,bull_trend
2016-10-27,182.96847534179688,calm,2.45,1.0,0.0492,0.0951,bull_trend
2016-10-28,182.42767333984375,calm,2.45,1.0,0.0503,0.0952,bull_trend
2016-10-31,182.43626403808594,calm,2.45,1.0,0.0213,0.0944,bull_trend
2016-11-01,181.1144256591797,calm,2.45,1.0,0.0423,0.0953,bull_trend
2016-11-02,180.0243682861328,calm,2.45,1.0,0.046,0.0959,bull_trend
2016-11-03,179.2003936767578,calm,2.45,1.0,0.0451,0.0946,bull_trend
2016-11-04,179.00291442871094,calm,2.45,1.0,0.0499,0.0947,bull_trend
2016-11-07,182.9512176513672,stress,2.15,1.0,0.1937,0.1049,bull_trend
2016-11-08,183.7752227783203,stress,2.15,1.0,0.1812,0.1053,bull_trend
2016-11-09,185.72364807128906,stress,2.15,0.5,0.1671,0.107,sideways
2016-11-10,186.18710327148438,normal,2.3,0.5,0.144,0.1071,sideways
2016-11-11,185.75796508789062,normal,2.3,0.5,0.1489,0.1071,sideways
2016-11-14,185.90386962890625,normal,2.3,1.0,0.0766,0.1066,bull_trend
2016-11-15,187.35443115234375,normal,2.3,1.0,0.0834,0.1077,bull_trend
2016-11-16,187.0024871826172,calm,2.45,1.0,0.065,0.1076,bull_trend
2016-11-17,187.96385192871094,calm,2.45,1.0,0.0703,0.1081,bull_trend
2016-11-18,187.5432891845703,calm,2.45,1.0,0.0701,0.1082,bull_trend
2016-11-21,188.95950317382812,normal,2.3,1.0,0.0791,0.1092,bull_trend
2016-11-22,189.3285675048828,calm,2.45,1.0,0.0681,0.1087,bull_trend
2016-11-23,189.43157958984375,calm,2.45,1.0,0.061,0.1087,bull_trend
2016-11-25,190.13540649414062,calm,2.45,1.0,0.058,0.1088,bull_trend
2016-11-28,189.24273681640625,calm,2.45,1.0,0.0712,0.1088,bull_trend
2016-11-29,189.61184692382812,calm,2.45,1.0,0.051,0.1088,bull_trend
2016-11-30,189.15692138671875,calm,2.45,1.0,0.0536,0.1088,bull_trend
2016-12-01,188.46165466308594,calm,2.45,1.0,0.0582,0.1091,bull_trend
2016-12-02,188.5561065673828,calm,2.45,1.0,0.0446,0.1087,bull_trend
2016-12-05,189.6890411376953,calm,2.45,1.0,0.0606,0.1092,bull_trend
2016-12-06,190.2899169921875,calm,2.45,1.0,0.063,0.1094,bull_trend
